StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,QID103,QID102,QID105,QID1_1,QID2,QID295,QID8,Q312,QID293,QID304,QID296,Q313_1,QID308_1,QID309_1,QID310_1,QID311_1,QID297,QID299,QID301_1,QID303_1,QID305,Q_RecaptchaStatus,Q_RecaptchaError,PROLIFIC_PID,SESSION_ID,STUDY_ID,Attention
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Q_RecaptchaScore,"Declaration of consent

We ask for your consent for the data processing associated with your participation in the survey. Consent can be revoked at any time with effect for the future (e.g. by contacting the research team). Consent also constitutes the legal basis for data processing.",Please enter your prolific ID,"We are interested in the views of the respondents, but we also want to ensure that individuals are reading the instruction. Please select ""Extremely likely"" and ""Somewhat unlikely"" to indicate that you have read the instructions. 


Based on the instruction above, which options you are asked to choose?",In what year were you born? - Year,Which best describes your gender?,In which country do you live?,Which of the following best describes your current employment status?,Are you currently working as a journalist?,For what type of journal/news source do you work?,For how long have you been working in this sector?,What type of role do you have (or you had in your last employment)?,"Out of 100 respondents, how many of them signed up to the newsletter when they saw an article with original (non-AI) pictures? - Sign-ups","Out of 100 respondents, how many of them signed up to newsletter when they saw an article with an AI picture that was very realistic, thus hard to recognize as AI? - Sign-ups","Out of 100 respondents, how many of them signed up to newsletter when they saw an article with an AI picture easy to recognize as AI? - Sign-ups","Out of 100 respondents who saw an article with an AI picture hard to recognize, you believe that [QID308-ChoiceNumericEntryValue-1] signed up to the newsletter.



Out of 100 respondents, how many of them signed up to the newsletter when they saw an article with an AI picture hard to recognize but ALSO labelled as AI? - Sign-ups","Out of 100 respondents who saw an article with an AI picture easy to recognize, you believe that [QID309-ChoiceNumericEntryValue-1] signed up to the newsletter.



Out of 100 respondents, how many of them signed up to the newsletter when they saw an article with an AI picture easy to recognize but ALSO labelled as AI? - Sign-ups",The use of AI to support writing and generating images should be clearly specified in the articles.,I have never used AI to support my writing or to generate pictures for articles.,"Out of 100 people involved in your profession, how many do you think support the disclosure of the use of AI in the articles? - Journalists","Out of 100 people involved in your profession, how many do you think use AI to support their writing or to generate images? - Journalists","We are interested in hearing opinions. Please explain in three/four sentences why you think journalists are using AI in their articles. There is no right or wrong answer, just your opinions.",Q_RecaptchaStatus,Q_RecaptchaError,PROLIFIC_PID,SESSION_ID,STUDY_ID,Attention
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID103""}","{""ImportId"":""QID102_TEXT""}","{""ImportId"":""QID105""}","{""ImportId"":""QID1_1""}","{""ImportId"":""QID2""}","{""ImportId"":""QID295""}","{""ImportId"":""QID8""}","{""ImportId"":""QID313""}","{""ImportId"":""QID293""}","{""ImportId"":""QID304""}","{""ImportId"":""QID296""}","{""ImportId"":""QID314_1""}","{""ImportId"":""QID308_1""}","{""ImportId"":""QID309_1""}","{""ImportId"":""QID310_1""}","{""ImportId"":""QID311_1""}","{""ImportId"":""QID297""}","{""ImportId"":""QID299""}","{""ImportId"":""QID301_1""}","{""ImportId"":""QID303_1""}","{""ImportId"":""QID305_TEXT""}","{""ImportId"":""Q_RecaptchaStatus""}","{""ImportId"":""Q_RecaptchaError""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""SESSION_ID""}","{""ImportId"":""STUDY_ID""}","{""ImportId"":""Attention""}"
2026-02-27 05:03:08,2026-02-27 05:05:24,Survey Preview,,100,136,True,2026-02-27 05:05:25,R_8Xq4ehQwBl67L4l,,,,,51.394,-2.3227,preview,EN-GB,,I agree to participate in this study!,kcyv,"Somewhat unlikely,Extremely likely",1917,Female,Afghanistan,Unemployed,,Weekly Newspaper,Less than 1 year,Reporter,,10,20,16,33,Somewhat disagree,Neither agree nor disagree,18,14,mb,,,,,,
2026-04-08 08:44:39,2026-04-08 08:47:56,Survey Preview,,100,196,True,2026-04-08 08:47:56,R_8ebyEdXhhSVt1vX,,,,,41.1122,16.8547,preview,EN-GB,0.8999999761581421,I agree to participate in this study!,eleala2,"Somewhat unlikely,Extremely likely",1928,Non-binary,Azerbaijan,Unemployed,Yes,Freelance,More than 5 years,Opinion Writer,43,37,31,28,24,Strongly agree,Neither agree nor disagree,24,19,kmnj,complete,,,,,
2026-04-08 08:49:13,2026-04-08 08:50:51,Survey Preview,,100,98,True,2026-04-08 08:50:52,R_8kdYdT4XkQA1apJ,,,,,41.1122,16.8547,preview,EN-GB,0.8999999761581421,I agree to participate in this study!,eleala3,"Somewhat unlikely,Extremely likely",1929,Male,Nicaragua,Temporarily laid off,Yes,Weekly Newspaper,More than 5 years,Opinion Writer,47,40,38,35,36,Strongly agree,Strongly agree,38,41,jvh,complete,,,,,
2026-04-09 05:05:51,2026-04-09 05:06:20,IP Address,82.76.44.38,100,29,True,2026-04-09 05:06:21,R_8YrMCzln2gxd0Lt,,,,,47.7502,26.6713,anonymous,EN-GB,0.8999999761581421,I agree to participate in this study!,6989be5937c8ed96dc2e56a3,Somewhat unlikely,,,,,,,,,,,,,,,,,,,complete,,6989be5937c8ed96dc2e56a3,69d78806f854831e3c93c098,69a1c569e7793dacfe90e35b,0
2026-04-09 05:02:38,2026-04-09 05:06:39,IP Address,188.142.80.198,100,240,True,2026-04-09 05:06:39,R_8pmQUGeKjPifzD0,,,,,50.8509,5.8746,anonymous,EN-GB,1,I agree to participate in this study!,65526a99cea08bbc02631734,"Somewhat unlikely,Extremely likely",1987,Prefer not to say,Netherlands,Working full time now,Yes,Freelance,More than 5 years,Reporter,20,10,5,5,2,Neither agree nor disagree,Strongly disagree,50,90,"AI can sometimes help to find new or better phrasings. And sometimes, as was the case with a former editor in chief of one of our biggest 'newspapers' ... to even make up quotations, haha.",complete,,65526a99cea08bbc02631734,69d7874802f9b2b474dc2e29,69a1c569e7793dacfe90e35b,
2026-04-09 05:01:47,2026-04-09 05:07:18,IP Address,171.252.153.5,100,330,True,2026-04-09 05:07:19,R_4fe0P16NhUV4BIu,,,,,10.822,106.6257,anonymous,EN-GB,0.8999999761581421,I agree to participate in this study!,698168d416ac2a33fe17b141,Neither unlikely nor likely,,,,,,,,,,,,,,,,,,,complete,,698168d416ac2a33fe17b141,69d7870f90dd7203524ed8bb,69a1c569e7793dacfe90e35b,0
2026-04-09 05:01:45,2026-04-09 05:07:39,IP Address,83.58.137.200,100,353,True,2026-04-09 05:07:39,R_8L1veBhi78iamnn,,,,,40.9488,-4.1097,anonymous,EN-GB,1,I agree to participate in this study!,5b55a6bc8620300001c3f50b,"Somewhat unlikely,Extremely likely",1993,Male,Spain,Working full time now,"No, but I have in the past",Blog,Between 1 year and 3 years,Editor,30,35,30,25,15,Somewhat agree,Strongly agree,25,50,"There's not much to say, simply to save work without having context for the news and to manipulate it at will.",complete,,5b55a6bc8620300001c3f50b,69d7871132eb058ff808883b,69a1c569e7793dacfe90e35b,
2026-04-09 05:02:40,2026-04-09 05:08:14,IP Address,165.0.189.21,100,333,True,2026-04-09 05:08:14,R_2RaYxtUeRsjwgJy,,,,,-25.757,28.1443,anonymous,EN-GB,0.699999988079071,I agree to participate in this study!,60fb2894ad56bad6ea26af54,"Somewhat unlikely,Extremely likely",1992,Male,South Africa,Working full time now,Yes,TV,More than 5 years,Reporter,50,35,35,35,35,Strongly agree,Strongly disagree,50,50,Journalists use AI in their articles due to lack of licenses to use other pictures which are there. They often rely on AI because it is faster and more effective to execute without needing any permission or license,complete,,60fb2894ad56bad6ea26af54,69d7874b92c20e42f8cc937f,69a1c569e7793dacfe90e35b,
