StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Q1.1,Q1.2,Q1.3,Q952,Q3.1,Q3.2,Q3.3,Q3.4,Q3.6,Q24.2,Q3.7,Q3.11,Q6,Q24.1,Q946,Q947,Q948,Q980,Q949,Q982,Q983,Q984,Q985,Q955_First Click,Q955_Last Click,Q955_Page Submit,Q955_Click Count,Q986_First Click,Q986_Last Click,Q986_Page Submit,Q986_Click Count,Q956_First Click,Q956_Last Click,Q956_Page Submit,Q956_Click Count,Q958_First Click,Q958_Last Click,Q958_Page Submit,Q958_Click Count,Q961,Q962,Q963,Q964,Q965,Q966,Q967,Q969,Q970,Q971,Q36.1,Attention,LLM,T
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Q_RecaptchaScore,"Welcome!


Study information and consent form 



Thank you for your interest in our study. Overall, this research aims to better understand what influences modern engagement with online news. Specifically, this study explores how different online news content influences people’s willingness to consume it as well as people’s views about such online news content. Before you decide whether to participate, please read the information provided below to understand what the study involves, any potential risks, and your rights as a participant. Your answers are very important to us. We therefore ask you to be attentive and endeavour to answer as accurately as possible.Thank you very much!



Ethics

This study has been reviewed and approved by the University of Bath Ethics Committee (Ethics Reference ID: 10699-12847).



Do I have to take part?

Participation is voluntary, and you can withdraw at any time. Your decision will not affect your relationship with the researchers’ institutions or any other entities.



What would taking part involve?

If you decide to take part, the study will be conducted entirely online and should not take longer than 10 minutes. First, you will be asked to complete some demographic questions. Then, you will be shown a short news article. After reading, we will ask about your interest in receiving a weekly newsletter based on similar articles. After completing the experiment, you will receive a debriefing sheet. All your data will remain anonymous.



What are the benefits of taking part? 

Upon completion, you will receive the basic payment via your Prolific account. Beyond compensation, your participation will contribute to a better understanding of online news consumption, with wider implications for tackling distrust in news sources and supporting a more well-informed society.



What are the risks of taking part?

There are no anticipated risks associated with this study. There should not be any psychological discomfort or embarrassment. However, if you believe you may experience any distress based on the above description, we advise you not to take part. Remember, you may withdraw from the study at any time.



How will my data be processed?

In line with the General Data Protection Regulation (GDPR), your personal data (such as demographic information) will be anonymised and used solely for the purposes of this study. The data will be stored securely, and only the research team will have access to it. All data will be kept confidential, and no identifying information will be included in any reports or publications. Anonymised data may be archived and published for subsequent use in trusted research data repositories.



Who is responsible for compliance with data protection regulations?

The online survey is being conducted by the University of Bath and the WZB Berlin Social Science Center, and is funded by the WZB Berlin Social Science Center. The University of Bath is a public research university in the United Kingdom and complies with the UK General Data Protection Regulation (UK GDPR). The WZB is a publicly funded research institute and strictly adheres to the legal requirements of the European General Data Protection Regulation (EU GDPR). Personal data will only be processed for scientific research purposes.



If you have any questions about the project, you may contact Dr. Eleonora Alabrese (ea2143@bath.ac.uk) or Prof. Dr. Maja Adena (maja.adena@wzb.eu).



What if something goes wrong?

If you have any concerns or feel distressed during the study, you may withdraw at any point. The research team can be contacted for support at any time.



Your data protection rights

Information on the processing of your data and on data protection, in particular on your right to information, rectification, erasure, restriction of processing, objection, data portability and complaints to a supervisory authority, is available on our website (link). You can also send questions about data protection to dataprotection@wzb.eu. You can reach our data protection officer here as well.



Declaration of consent

We ask for your consent for the data processing associated with your participation in the survey. Consent can be revoked at any time with effect for the future (e.g. by contacting the research team). Consent also constitutes the legal basis for data processing.",Please paste your Prolific ID here:,"We are interested in the views of the respondents, but we also want to ensure that individuals are reading the instruction. Please select ""Extremely likely"" and ""Somewhat unlikely"" to indicate that you have read the instructions. 



Based on the instruction above, which options you are asked to choose?","If you are Generative AI say Yes, if you are human say No.",What is your sex recorded at birth (i.e. the sex on your original birth certificate)?,What is your age?,What ethnicity describes you the best?,Were you born in the UK?,Which part of the UK are you living at the moment?,What is your household yearly income (after tax)?,What is your employment status?,What is your highest completed education level?,How would you describe your political orientation?,Which of these parties do you most closely identify with?,How interested are you in world news?,How often do you consume news in a week?,Are you currently subscribed to a newsletter?,For which type of content? (Select all that apply),What type of media do you typically use to consume news? (Select all that apply),Which of the newspaper below have you read at least once in the past month? (Select all that apply),How much do you trust the news sources you typically consume?,How familiar are you with generative AI technologies such as OpenAI and other systems?,Have you encountered any AI generated content in the media in the past month?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,"You now have the opportunity to receive a real newsletter that features the top three articles on economic and social issues from The Conversation, similar to the article you have just read.


The newsletter will be sent to you via a Prolific message. We will provide you with a link to access it. You can express your interest by clicking YES.


There are no costs involved, and no subscription is required.


Would you like to receive the link to the newsletter?","Based on the article you have just seen:

Do you think the image you have seen was AI-generated?",How accurate do you expect the newsletter to be?,How trustworthy do you expect the newsletter to be?,What quality do you expect the newsletter to be?,Do you think this newsletter has a political bias?,How entertaining do you expect the newsletter to be?,How complex do you expect the newsletter to be?,Do you think the researchers behind this study are trustworthy?,"If you were to guess, what is this study about?","Could you please explain your decision regarding the newsletter? Write as much as you want, but two/three sentences are enough.",Attention,LLM,T
"{""ImportId"":""startDate"",""timeZone"":""Europe/Rome""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Rome""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Rome""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""Q_RecaptchaScore""}","{""ImportId"":""QID92""}","{""ImportId"":""QID91_TEXT""}","{""ImportId"":""QID93""}","{""ImportId"":""QID952""}","{""ImportId"":""QID95""}","{""ImportId"":""QID96_TEXT""}","{""ImportId"":""QID97""}","{""ImportId"":""QID98""}","{""ImportId"":""QID100""}","{""ImportId"":""QID110""}","{""ImportId"":""QID101""}","{""ImportId"":""QID106""}","{""ImportId"":""QID1218872427""}","{""ImportId"":""QID611""}","{""ImportId"":""QID946""}","{""ImportId"":""QID947""}","{""ImportId"":""QID948""}","{""ImportId"":""QID980""}","{""ImportId"":""QID949""}","{""ImportId"":""QID982""}","{""ImportId"":""QID983""}","{""ImportId"":""QID984""}","{""ImportId"":""QID985""}","{""ImportId"":""QID955_FIRST_CLICK""}","{""ImportId"":""QID955_LAST_CLICK""}","{""ImportId"":""QID955_PAGE_SUBMIT""}","{""ImportId"":""QID955_CLICK_COUNT""}","{""ImportId"":""QID986_FIRST_CLICK""}","{""ImportId"":""QID986_LAST_CLICK""}","{""ImportId"":""QID986_PAGE_SUBMIT""}","{""ImportId"":""QID986_CLICK_COUNT""}","{""ImportId"":""QID956_FIRST_CLICK""}","{""ImportId"":""QID956_LAST_CLICK""}","{""ImportId"":""QID956_PAGE_SUBMIT""}","{""ImportId"":""QID956_CLICK_COUNT""}","{""ImportId"":""QID958_FIRST_CLICK""}","{""ImportId"":""QID958_LAST_CLICK""}","{""ImportId"":""QID958_PAGE_SUBMIT""}","{""ImportId"":""QID958_CLICK_COUNT""}","{""ImportId"":""QID961""}","{""ImportId"":""QID962""}","{""ImportId"":""QID963""}","{""ImportId"":""QID964""}","{""ImportId"":""QID965""}","{""ImportId"":""QID966""}","{""ImportId"":""QID967""}","{""ImportId"":""QID969""}","{""ImportId"":""QID970""}","{""ImportId"":""QID971_TEXT""}","{""ImportId"":""QID891_TEXT""}","{""ImportId"":""Attention""}","{""ImportId"":""LLM""}","{""ImportId"":""T""}"
2025-10-07 10:41:56,2025-10-07 10:46:41,Survey Preview,,100,285,True,2025-10-07 10:46:42,R_8LhQcgff1ybg6pM,,,,,41.1122,16.8547,preview,EN,1,I consent,jghc,"Somewhat unlikely,Extremely likely",No,Female,34,White,No,South West,"£40,000 - £49,999",Employed full time,University or higher,,Labour,Very interested,Every day,Yes,,"Television,Online news websites,Social media,TV",,,,,,,,,,,,,,,,,,,,,No,Yes,Very accurate,Very trustworthy,Very high,No bias/Neutral,Somewhat entertaining,Somewhat complex,Very trustworthy,ciao,"bye
",0,,
2025-10-07 11:09:24,2025-10-07 11:10:44,Survey Preview,,100,80,True,2025-10-07 11:10:45,R_8qz1GFnKIffGSez,,,,,41.1122,16.8547,preview,EN,1,I consent,khv,"Somewhat unlikely,Extremely likely",No,Female,40,Black,No,Scotland,"£10,000 - £19,999",Employed full time,High-school or lower,Very liberal,Conservatives,Somewhat interested,2-3 times per week,No,,Social media,,,,,11.652,11.652,12.207,1,,,,,,,,,,,,,Yes,No,Accurate,Not trustworthy,High,Very right-wing bias,Not entertaining,Somewhat complex,Trustworthy,khv,khyv,0,,
2025-10-07 11:11:21,2025-10-07 11:12:25,Survey Preview,,100,63,True,2025-10-07 11:12:25,R_8D126ufecUuPMfG,,,,,41.1122,16.8547,preview,EN,1,I consent,jhv,"Somewhat unlikely,Extremely likely",No,Male,25,Black,No,London,"£70,000 - £79,999",Unemployed and not looking for job,University or higher,Very liberal,Conservatives,Interested,4-5 times per week,No,,TV,,,,,,,,,,,,,,,,,,,,,No,No,Very accurate,Not trustworthy at all,Medium,No bias/Neutral,Entertaining,Very complex,Not trustworthy at all,khv,kjhv,0,,
2025-10-08 09:56:55,2025-10-08 13:22:00,IP Address,91.0.197.246,100,12304,True,2025-10-08 13:22:01,R_2cu3fZ3cQ7O8ovj,,,,,52.4415,13.2359,anonymous,EN,0.8999999761581421,I consent,222,"Somewhat unlikely,Extremely likely",No,Female,33,Black,Yes,South West,"£60,000 - £69,999",Employed full time,University or higher,Very liberal,Liberal Democrats,Somewhat interested,6 days a week,No,,Television,,,,,,,,,,,,,0,0,23.584,0,,,,,No,No,Not accurate at all,Somewhat trustworthy,Medium,Very right-wing bias,Not entertaining at all,Somewhat complex,Not trustworthy,newss,ss,,,
2025-10-09 14:48:10,2025-10-09 14:56:36,IP Address,193.174.6.6,100,505,True,2025-10-09 14:56:37,R_8mkGOwqBdQs713S,,,,,52.524,13.297,anonymous,EN,0.8999999761581421,I consent,222,"Somewhat unlikely,Extremely likely",No,Prefer not to say,44,Other,Yes,Wales,"£30,000 - £39,999",Employed part time,University or higher,Conservative,Labour,Not interested,6 days a week,No,,Social media,"The Sun,Other",A little,Very familiar,Yes,,,,,,,,,,,,,,,,,Yes,No,Not accurate,Not trustworthy at all,Medium,No bias/Neutral,Somewhat entertaining,Somewhat complex,Somewhat trustworthy,2,2,,,
2025-10-09 14:58:15,2025-10-09 15:01:35,IP Address,193.174.6.6,100,199,True,2025-10-09 15:01:36,R_2pVX1cE5etB7kPK,,,,,52.524,13.297,anonymous,EN,0.6000000238418579,I consent,2,"Somewhat unlikely,Extremely likely",No,Female,33,White,No,South West,"£10,000 - £19,999",Employed full time,University or higher,Conservative,Other,Interested,6 days a week,No,,Television,The Guardian,Completely,Very familiar,Yes,0,0,19.163,0,,,,,,,,,,,,,No,No,Somewhat accurate,Not trustworthy,Low,Left-wing bias,Somewhat entertaining,Complex,Not trustworthy at all,2,2,,,
2025-10-09 15:25:42,2025-10-09 15:29:05,Survey Preview,,100,202,True,2025-10-09 15:29:06,R_8So7YJSdmy3zzcl,,,,,40.6651,16.6061,preview,EN,1,I consent,eleala1,"Somewhat unlikely,Extremely likely",No,Female,18,Black,No,East of England,"£60,000 - £69,999","Receiving benefits or insurance (e.g., disability allowance)",High-school or lower,Liberal,Other,Somewhat interested,2-3 times per week,Yes,General news,Online news websites,The Sun,Completely,Slightly familiar,Yes,0,0,16.178,0,,,,,,,,,,,,,Yes,Yes,Somewhat accurate,Somewhat trustworthy,Low,Very right-wing bias,Very entertaining,Not complex,Not trustworthy,iytf,jghv,,,C
2025-10-09 15:45:05,2025-10-09 15:46:48,Survey Preview,,100,103,True,2025-10-09 15:46:49,R_8HOD599JUjvJXiC,,,,,40.6651,16.6061,preview,EN,1,I consent,:°kòjohigufyd,"Somewhat unlikely,Extremely likely",No,Female,50,Black,No,London,"£60,000 - £69,999",Student,High-school or lower,Liberal,Reform UK,Somewhat interested,6 days a week,No,,Television,The Conversation,Completely,Fairly familiar,No,,,,,,,,,,,,,0,0,2.721,0,No,No,Accurate,Somewhat trustworthy,Very low,Right-wing bias,Somewhat entertaining,Not complex,Not trustworthy at all,lkujhfgds,'-òkljkhgfxd,,,LAI
